custID,Gender,IsRetired,IsMarried,HasChildren,TotalMonthsInContract,HasPhone,ConnectionType,HasAntivirusSubscription,HasCloudBackUp,HasInsurance,HasHelpdeskPrivileges,HasTVPackage,HasMoviePackage,PayTerm,OnlineStatements,PreferredPaymentType,MonthlyBill,TotalFees,MonthlySpend,RetentionCheck,Retention
7590-VHVEG,Female,0,Yes,No,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,22.4,Yes,Yes
5575-GNVDE,Male,0,No,No,34,Yes,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,56.82,Yes,Yes
3668-QPYBK,Male,0,No,No,2,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,54.93,No,No
7795-CFOCW,Male,0,No,No,45,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,35.24,Yes,Yes
9237-HQITU,Female,0,No,No,2,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,70.16,Yes,No
9305-CDSKC,Female,0,No,No,8,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,91.95,No,No
1452-KIOVK,Male,0,No,Yes,22,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,91.15,Yes,Yes
6713-OKOMC,Female,0,No,No,10,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,28.12,Yes,Yes
7892-POOKP,Female,0,Yes,No,28,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,104.22,No,No
6388-TABGU,Male,0,No,Yes,62,Yes,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,50.09,Yes,Yes
9763-GRSKD,Male,0,Yes,Yes,13,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,£587.45,49.29,Yes,Yes
7469-LKBCI,Male,0,No,No,16,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,16.56,Yes,Yes
8091-TTVAX,Male,0,Yes,No,58,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,105.04,Yes,Yes
0280-XJGEX,Male,0,No,No,49,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,102.91,No,No
5129-JLPIS,Male,0,No,No,25,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,101.06,Yes,Yes
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,£7895.15,117.67,Yes,Yes
8191-XWSZG,Female,0,No,No,52,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,23.38,Yes,Yes
9959-WOFKT,Male,0,No,Yes,71,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,£7382.25,104.15,Yes,Yes
4190-MFLUW,Female,0,Yes,Yes,10,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,53.81,No,No
4183-MYFRB,Female,0,No,No,21,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,93.66,Yes,Yes
8779-QRDMV,Male,1,No,No,1,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,42.36,No,No
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,22.22,Yes,Yes
1066-JKSGK,Male,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,23.45,No,No
3638-WEABW,Female,0,Yes,No,58,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,£3505.1,60.73,Yes,Yes
6322-HRPFA,Male,0,Yes,Yes,49,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,56.95,Yes,Yes
6865-JZNKO,Female,0,No,No,30,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,56.41,Yes,Yes
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,97.23,No,No
8665-UTDHZ,Male,0,Yes,Yes,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,29.98,No,No
5248-YGIJN,Male,0,Yes,No,72,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,89.75,Yes,Yes
8773-HHUOZ,Female,0,No,Yes,17,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,£1093.1,64.52,No,No
3841-NFECX,Female,1,Yes,No,71,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,90.76,Yes,Yes
4929-XIHVW,Male,1,Yes,No,2,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,98.07,Yes,Yes
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,63.74,Yes,Yes
7310-EGVHZ,Male,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,16.29,Yes,Yes
3413-BMNZE,Male,1,No,No,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,£45.25,47.67,Yes,Yes
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,97.57,Yes,Yes
6047-YHPVI,Male,0,No,No,5,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,65.82,No,No
6572-ADKRS,Female,0,No,No,46,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,75.76,Yes,Yes
5380-WJKOV,Male,0,No,No,34,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,106.13,No,No
8168-UQWWF,Female,0,No,No,11,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,£1105.4,96.42,No,No
8865-TNMNX,Male,0,Yes,Yes,10,Yes,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,52.55,Yes,Yes
9489-DEDVP,Female,0,Yes,Yes,70,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,69.22,Yes,Yes
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,£418.25,20.25,Yes,Yes
4671-VJLCL,Female,0,No,No,63,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,83.37,Yes,Yes
4080-IIARD,Female,0,Yes,No,13,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,79.43,No,Yes
3714-NTNFO,Female,0,No,No,49,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,84.93,Yes,Yes
5948-UJZLF,Male,0,No,No,2,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97,50.78,Yes,Yes
7760-OYPDY,Female,0,No,No,2,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,76.73,No,No
7639-LIAYI,Male,0,No,No,52,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,79.46,Yes,Yes
2954-PIBKO,Female,0,Yes,Yes,69,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,65.58,Yes,Yes
8012-SOUDQ,Female,1,No,No,43,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,87.71,Yes,Yes
9420-LOJKX,Female,0,No,No,15,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,94.07,No,No
6575-SUVOI,Female,1,Yes,No,25,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,72.28,Yes,Yes
7495-OOKFY,Female,1,Yes,No,8,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,81.14,Yes,No
4667-QONEA,Female,1,Yes,Yes,60,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,69.61,Yes,Yes
1658-BYGOY,Male,1,No,No,18,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,96.61,No,No
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,101.14,Yes,Yes
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,108.33,Yes,Yes
3957-SQXML,Female,0,Yes,Yes,34,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,27.08,Yes,Yes
5954-BDFSG,Female,0,No,No,72,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,103.11,Yes,Yes
0434-CSFON,Female,0,Yes,No,47,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,106.19,Yes,Yes
1215-FIGMP,Male,0,No,No,60,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,£5450.7,85.75,Yes,Yes
0526-SXDJP,Male,0,Yes,No,72,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962,39.68,Yes,Yes
0557-ASKVU,Female,0,Yes,Yes,18,Yes,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,55.88,Yes,Yes
5698-BQJOH,Female,0,No,No,9,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,98.71,No,No
5122-CYFXA,Female,0,No,No,3,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,78.55,Yes,Yes
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,78.72,Yes,Yes
3410-YOQBQ,Female,0,No,No,31,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,81.21,Yes,Yes
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,25.38,Yes,Yes
7410-OIEDU,Male,0,No,No,10,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,79.08,Yes,Yes
2273-QCKXA,Male,0,No,No,1,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,48.73,Yes,Yes
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,21.27,Yes,Yes
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099,119.97,Yes,Yes
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,24.57,Yes,Yes
5630-AHZIL,Female,0,No,Yes,3,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,63.57,Yes,Yes
2673-CXQEU,Female,1,No,No,56,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,109.79,Yes,Yes
6416-JNVRK,Female,0,No,No,46,Yes,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,55.89,Yes,Yes
